query_id,query,used,passage_id,rank,score,username,rel,query_cleaned
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_62_547459701,1,16.102699,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_21_588232716,2,14.7847,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_11_97323294,3,13.8658,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_68_54887603,4,13.865799,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_62_547466749,5,13.7936,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_01_754428658,6,13.5285,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_29_721444540,7,13.2225,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_04_151564442,8,13.1401,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_36_431723539,9,13.0848,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_03_305794971,10,12.9264,Anserini,1,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_60_105759450,91,11.130899,Anserini,0,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_10_713131218,92,11.1237,Anserini,0,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_19_856407904,93,11.1162,Anserini,0,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_21_607516236,94,11.116199,Anserini,0,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_45_566215262,95,11.0814,Anserini,0,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_14_373805844,96,11.0653,Anserini,0,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_40_190797958,97,11.0618,Anserini,0,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_66_602991111,98,11.061799,Anserini,0,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_58_593794016,99,11.0588,Anserini,0,what are the characteristics of wool fibres
568182,what are the characteristics of wool fibres,Q0,msmarco_passage_32_63885475,100,11.0274,Anserini,0,what are the characteristics of wool fibres
36836,average grad school loan rates,Q0,msmarco_passage_59_638672630,1,16.094101,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_59_638677412,2,16.094099,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_33_100876359,3,15.5006,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_10_854263343,4,15.2203,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_67_559954242,5,15.220299,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_55_423852846,6,15.1014,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_22_220611713,7,15.0323,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_46_770936213,8,14.8387,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_26_631977970,9,14.8013,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_33_99740351,10,14.7692,Anserini,1,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_42_75617674,91,12.7385,Anserini,0,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_42_292515508,92,12.6678,Anserini,0,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_34_80971497,93,12.6654,Anserini,0,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_46_619666042,94,12.6603,Anserini,0,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_04_267532854,95,12.6503,Anserini,0,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_33_101244471,96,12.6318,Anserini,0,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_62_678136309,97,12.6256,Anserini,0,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_33_100864827,98,12.6165,Anserini,0,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_41_737459450,99,12.6128,Anserini,0,average grad school loan rates
36836,average grad school loan rates,Q0,msmarco_passage_65_621366481,100,12.6014,Anserini,0,average grad school loan rates
476199,pneumonia contagious period,Q0,msmarco_passage_08_39453895,1,15.7691,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_53_402100798,2,15.769099,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_03_633582081,3,14.3389,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_28_265405623,4,14.0228,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_28_265412289,5,14.022799,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_24_242708898,6,13.7899,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_53_488818085,7,13.7162,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_53_488825651,8,13.716199,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_67_949719518,9,13.2778,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_24_242717001,10,13.1283,Anserini,1,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_45_171154352,91,11.675692,Anserini,0,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_45_171165249,92,11.675691,Anserini,0,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_48_695596213,93,11.675689,Anserini,0,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_54_498906134,94,11.6391,Anserini,0,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_24_222704954,95,11.5627,Anserini,0,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_28_585348156,96,11.562699,Anserini,0,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_49_4512337,97,11.562698,Anserini,0,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_55_313482979,98,11.562697,Anserini,0,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_06_730223754,99,11.5469,Anserini,0,pneumonia contagious period
476199,pneumonia contagious period,Q0,msmarco_passage_08_462215520,100,11.5279,Anserini,0,pneumonia contagious period
193532,gastroparesis symptoms and treatments,Q0,msmarco_passage_03_803996812,1,14.0509,Anserini,1,gastroparesis symptoms and treatments
193532,gastroparesis symptoms and treatments,Q0,msmarco_passage_65_635830448,2,13.7575,Anserini,1,gastroparesis symptoms and treatments
193532,gastroparesis symptoms and treatments,Q0,msmarco_passage_25_799703133,3,13.6551,Anserini,1,gastroparesis symptoms and treatments
193532,gastroparesis symptoms and treatments,Q0,msmarco_passage_49_470443390,4,13.606,Anserini,1,gastroparesis symptoms and treatments
193532,gastroparesis symptoms and treatments,Q0,msmarco_passage_49_477495764,5,13.605999,Anserini,1,gastroparesis symptoms and treatments
193532,gastroparesis symptoms and treatments,Q0,msmarco_passage_07_648582452,6,13.588,Anserini,1,gastroparesis symptoms and treatments
193532,gastroparesis symptoms and treatments,Q0,msmarco_passage_65_600880146,7,13.4349,Anserini,1,gastroparesis symptoms and treatments
193532,gastroparesis symptoms and treatments,Q0,msmarco_passage_03_739619722,8,13.4178,Anserini,1,gastroparesis symptoms and treatments
193532,gastroparesis symptoms and treatments,Q0,msmarco_passage_36_835086339,9,13.417799,Anserini,1,gastroparesis symptoms and treatments
